"Rank","Player","Team","Position","Points","Games","Avg"
"1","Peyton Manning","DEN","QB","383.5","15","25.6"
"2","Jamaal Charles","KC","RB","378.0","15","25.2"
"3","Drew Brees","NO","QB","319.6","15","21.3"
"4","LeSean McCoy","PHI","RB","310.2","15","20.7"
"5","Calvin Johnson","DET","WR","303.2","14","21.7"
"6","Matt Forte","CHI","RB","299.6","15","20.0"
"7","Josh Gordon","CLE","WR","299.2","13","23.0"
"8","Antonio Brown","PIT","WR","291.2","15","19.4"
"9","A.J. Green","CIN","WR","290.5","15","19.4"
"10","Demaryius Thomas","DEN","WR","289.7","15","19.3"
"11","Brandon Marshall","CHI","WR","286.1","15","19.1"
"12","Jimmy Graham","NO","TE","285.4","15","19.0"
"13","Knowshon Moreno","DEN","RB","279.2","15","18.6"
"14","Cam Newton","CAR","QB","278.6","15","18.6"
"15","Andrew Luck","IND","QB","276.5","15","18.4"
"16","Alshon Jeffery","CHI","WR","274.6","15","18.3"
"17","Andre Johnson","HOU","WR","268.8","15","17.9"
"18","Dez Bryant","DAL","WR","268.5","15","17.9"
"19","Andy Dalton","CIN","QB","268.5","15","17.9"
"20","Philip Rivers","LAC","QB","268.0","15","17.9"
"21","Eric Decker","DEN","WR","267.1","15","17.8"
"22","Matthew Stafford","DET","QB","266.3","15","17.8"
"23","Pierre Garcon","WAS","WR","265.9","15","17.7"
"24","DeSean Jackson","PHI","WR","263.6","15","17.6"
"25","Tony Romo","DAL","QB","260.8","15","17.4"
"26","Russell Wilson","SEA","QB","259.5","15","17.3"
"27","Marshawn Lynch","SEA","RB","258.2","15","17.2"
"28","Alex Smith","KC","QB","254.2","15","17.0"
"29","Ben Roethlisberger","PIT","QB","250.8","15","16.7"
"30","DeMarco Murray","DAL","RB","246.4","13","19.0"
"31","Nick Foles","PHI","QB","243.7","12","20.3"
"32","Tom Brady","NE","QB","242.9","15","16.2"
"33","Colin Kaepernick","SF","QB","241.6","15","16.1"
"34","Jordy Nelson","GB","WR","238.3","15","15.9"
"35","Vincent Jackson","TB","WR","234.9","15","15.7"
"36","Julian Edelman","NE","WR","234.2","15","15.6"
"37","Adrian Peterson","MIN","RB","232.7","14","16.6"
"38","Matt Ryan","ATL","QB","231.0","15","15.4"
"39","Ryan Tannehill","MIA","QB","230.4","15","15.4"
"40","Eddie Lacy","GB","RB","226.4","14","16.2"
"41","Reggie Bush","DET","RB","221.7","13","17.1"
"42","Larry Fitzgerald","ARI","WR","218.9","15","14.6"
"43","Chris Johnson","TEN","RB","217.1","15","14.5"
"44","Anquan Boldin","SF","WR","215.0","15","14.3"
"45","Fred Jackson","BUF","RB","214.4","15","14.3"
"46","Robert Griffin III","WAS","QB","213.0","13","16.4"
"47","Giovani Bernard","CIN","RB","210.6","15","14.0"
"48","Danny Woodhead","LAC","RB","210.4","15","14.0"
"49","Tony Gonzalez","ATL","TE","209.3","15","14.0"
"50","Wes Welker","DEN","WR","208.8","13","16.1"
"51","Julius Thomas","DEN","TE","207.2","13","15.9"
"52","Joique Bell","DET","RB","207.1","15","13.8"
"53","Keenan Allen","LAC","WR","205.7","14","14.7"
"54","Kendall Wright","TEN","WR","203.9","15","13.6"
"55","Pierre Thomas","NO","RB","201.9","15","13.5"
"56","Jordan Cameron","CLE","TE","201.8","14","14.4"
"57","Joe Flacco","BAL","QB","201.8","15","13.5"
"58","Le'Veon Bell","PIT","RB","200.3","12","16.7"
"59","Vernon Davis","SF","TE","199.5","14","14.3"
"60","Torrey Smith","BAL","WR","198.1","15","13.2"
"61","Brian Hartline","MIA","WR","195.8","15","13.1"
"62","Carson Palmer","ARI","QB","195.1","15","13.0"
"63","Victor Cruz","NYG","WR","194.8","14","13.9"
"64","T.Y. Hilton","IND","WR","194.4","15","13.0"
"65","Ryan Mathews","LAC","RB","192.9","15","12.9"
"66","Frank Gore","SF","RB","189.5","15","12.6"
"67","Harry Douglas","ATL","WR","186.9","15","12.5"
"68","Marques Colston","NO","WR","186.6","14","13.3"
"69","Mike Wallace","MIA","WR","185.8","15","12.4"
"70","Michael Floyd","ARI","WR","184.0","15","12.3"
"71","Jason Witten","DAL","TE","180.6","15","12.0"
"72","Charles Clay","MIA","TE","180.1","15","12.0"
"73","Seattle Seahawks","SEA","DST","180.0","15","12.0"
"74","Riley Cooper","PHI","WR","177.4","15","11.8"
"75","Geno Smith","NYJ","QB","176.9","15","11.8"
"75","Emmanuel Sanders","PIT","WR","176.9","15","11.8"
"77","Zac Stacy","LAR","RB","175.6","13","13.5"
"78","Maurice Jones-Drew","JAC","RB","175.0","14","12.5"
"79","Kansas City Chiefs","KC","DST","175.0","15","11.7"
"80","Greg Olsen","CAR","TE","174.4","15","11.6"
"81","Carolina Panthers","CAR","DST","172.0","15","11.5"
"82","Marvin Jones Jr.","CIN","WR","171.6","15","11.4"
"83","Antonio Gates","LAC","TE","171.1","15","11.4"
"84","Rashad Jennings","LV","RB","170.8","14","12.2"
"85","Alfred Morris","WAS","RB","170.0","15","11.3"
"86","Darren Sproles","NO","RB","168.5","14","12.0"
"87","Martellus Bennett","CHI","TE","166.4","15","11.1"
"88","Arizona Cardinals","ARI","DST","166.0","15","11.1"
"89","Ray Rice","BAL","RB","164.1","14","11.7"
"90","Stephen Gostkowski","NE","K","164.0","15","10.9"
"91","Ryan Fitzpatrick","TEN","QB","163.2","10","16.3"
"92","Greg Jennings","MIN","WR","163.0","14","11.6"
"93","Steve Smith","CAR","WR","162.5","15","10.8"
"94","Eli Manning","NYG","QB","162.4","15","10.8"
"95","Nate Washington","TEN","WR","162.0","15","10.8"
"96","Cecil Shorts","JAC","WR","161.7","13","12.4"
"97","Golden Tate","SEA","WR","159.8","15","10.7"
"98","Doug Baldwin","SEA","WR","158.4","15","10.6"
"99","Andre Ellington","ARI","RB","158.1","14","11.3"
"100","Matt Prater","DEN","K","158.0","15","10.5"
"101","Rod Streater","LV","WR","157.5","15","10.5"
"102","San Francisco 49ers","SF","DST","157.0","15","10.5"
"103","Dwayne Bowe","KC","WR","154.3","15","10.3"
"104","Jerricho Cotchery","PIT","WR","154.2","15","10.3"
"105","Jay Cutler","CHI","QB","153.7","10","15.4"
"106","Justin Tucker","BAL","K","153.0","15","10.2"
"107","DeAngelo Williams","CAR","RB","152.8","14","10.9"
"108","Aaron Rodgers","GB","QB","152.3","8","19.0"
"109","Cincinnati Bengals","CIN","DST","152.0","15","10.1"
"110","Stephen Hauschka","SEA","K","151.0","15","10.1"
"111","Adam Vinatieri","IND","K","150.0","14","10.7"
"111","Los Angeles Rams","LAR","DST","150.0","15","10.0"
"113","Mason Crosby","GB","K","148.0","15","9.9"
"113","Nick Novak","LAC","K","148.0","15","9.9"
"115","Delanie Walker","TEN","TE","147.2","14","10.5"
"116","James Jones","GB","WR","146.6","13","11.3"
"117","Chad Henne","JAC","QB","146.1","14","10.4"
"118","Ben Tate","HOU","RB","145.1","14","10.4"
"119","Eddie Royal","LAC","WR","144.1","14","10.3"
"120","Phil Dawson","SF","K","144.0","15","9.6"
"121","Mike Glennon","TB","QB","143.2","12","11.9"
"121","Brandon LaFell","CAR","WR","143.2","15","9.6"
"123","Jacquizz Rodgers","ATL","RB","141.3","15","9.4"
"124","Terrance Williams","DAL","WR","141.1","15","9.4"
"125","Dan Bailey","DAL","K","141.0","15","9.4"
"125","Buffalo Bills","BUF","DST","141.0","15","9.4"
"127","New England Patriots","NE","DST","140.0","15","9.3"
"128","Dan Carpenter","BUF","K","139.0","15","9.3"
"129","Hakeem Nicks","NYG","WR","138.6","14","9.9"
"130","Rashard Mendenhall","ARI","RB","138.1","14","9.9"
"131","Donald Brown","IND","RB","137.6","15","9.2"
"132","Coby Fleener","IND","TE","137.3","15","9.2"
"133","C.J. Spiller","BUF","RB","136.5","14","9.8"
"134","Josh McCown","CHI","QB","136.1","8","17.0"
"135","Rueben Randle","NYG","WR","136.1","15","9.1"
"136","Nick Folk","NYJ","K","136.0","15","9.1"
"137","Denarius Moore","LV","WR","135.2","12","11.3"
"138","DeAndre Hopkins","HOU","WR","134.7","15","9.0"
"139","Jay Feely","ARI","K","134.0","15","8.9"
"140","Steven Jackson","ATL","RB","134.0","11","12.2"
"141","E.J. Manuel","BUF","QB","133.5","10","13.4"
"142","Trent Richardson","Multi","RB","132.7","15","8.9"
"143","Jarrett Boykin","GB","WR","132.3","15","8.8"
"144","Jared Cook","LAR","TE","132.1","15","8.8"
"145","Garrett Graham","HOU","TE","131.5","13","10.1"
"146","Marlon Brown","BAL","WR","131.2","13","10.1"
"147","Robbie Gould","CHI","K","131.0","15","8.7"
"148","Bilal Powell","NYJ","RB","130.7","15","8.7"
"148","Steve Johnson","BUF","WR","130.7","12","10.9"
"150","Tampa Bay Buccaneers","TB","DST","129.0","15","8.6"
"151","Graham Gano","CAR","K","128.0","15","8.5"
"151","Blair Walsh","MIN","K","128.0","15","8.5"
"153","Shaun Suisham","PIT","K","127.8","15","8.5"
"154","Danny Amendola","NE","WR","127.5","11","11.6"
"155","Cordarrelle Patterson","MIN","RB","127.2","15","8.5"
"156","Roddy White","ATL","WR","127.0","12","10.6"
"157","Tavon Austin","LAR","WR","124.9","13","9.6"
"158","Tim Wright","TB","TE","124.3","15","8.3"
"159","Terrelle Pryor Sr.","LV","WR","124.2","10","12.4"
"160","Caleb Sturgis","MIA","K","124.0","15","8.3"
"160","Indianapolis Colts","IND","DST","124.0","15","8.3"
"162","Rob Gronkowski","NE","TE","122.2","7","17.5"
"163","Shane Vereen","NE","RB","121.0","7","17.3"
"164","Jerome Simpson","MIN","WR","120.7","15","8.1"
"165","Brandon Myers","NYG","TE","120.3","15","8.0"
"166","Stevan Ridley","NE","RB","120.1","13","9.2"
"167","Miami Dolphins","MIA","DST","120.0","15","8.0"
"168","Scott Chandler","BUF","TE","120.0","15","8.0"
"169","Ryan Succop","KC","K","119.0","15","7.9"
"169","Greg Zuerlein","LAR","K","119.0","15","7.9"
"171","Sam Bradford","LAR","QB","118.7","7","17.0"
"172","Garrett Hartley","NO","K","118.0","14","8.4"
"173","Heath Miller","PIT","TE","117.6","13","9.1"
"174","Robert Woods","BUF","WR","116.6","13","9.0"
"175","Mike Tolbert","CAR","RB","116.6","15","7.8"
"176","Alex Henery","PHI","K","116.0","15","7.7"
"176","Philadelphia Eagles","PHI","DST","116.0","15","7.7"
"178","Ted Ginn Jr.","CAR","WR","115.9","15","7.7"
"179","Lamar Miller","MIA","RB","115.2","15","7.7"
"180","Jordan Reed","WAS","TE","114.7","9","12.7"
"181","Randy Bullock","HOU","K","114.0","15","7.6"
"182","BenJarvus Green-Ellis","CIN","RB","113.2","15","7.6"
"183","Matt Bryant","ATL","K","113.0","15","7.5"
"184","Kenny Stills","NO","WR","112.5","15","7.5"
"185","Chris Ogbonnaya","CLE","RB","112.4","15","7.5"
"186","Sebastian Janikowski","LV","K","112.0","15","7.5"
"186","Rob Bironas","TEN","K","112.0","15","7.5"
"188","Aaron Dobson","NE","WR","111.3","11","10.1"
"189","Donnie Avery","KC","WR","110.2","15","7.4"
"190","Denver Broncos","DEN","DST","110.0","15","7.3"
"191","Jermaine Gresham","CIN","TE","109.8","14","7.8"
"192","Marcel Reece","LV","RB","109.7","15","7.3"
"192","Julio Jones","ATL","WR","109.7","5","21.9"
"194","Mike Nugent","CIN","K","109.0","15","7.3"
"194","Dallas Cowboys","DAL","DST","109.0","15","7.3"
"196","Arian Foster","HOU","RB","108.5","8","13.6"
"197","Christian Ponder","MIN","QB","107.0","9","11.9"
"198","Bobby Rainey","Multi","RB","105.6","14","7.5"
"199","Jeremy Kerley","NYJ","WR","105.3","11","9.6"
"200","Chicago Bears","CHI","DST","105.0","15","7.0"
"200","Billy Cundiff","CLE","K","105.0","15","7.0"
"200","Rian Lindell","TB","K","105.0","15","7.0"
"200","Cleveland Browns","CLE","DST","105.0","15","7.0"
"204","Jason Campbell","CLE","QB","105.0","8","13.1"
"205","New Orleans Saints","NO","DST","104.0","15","6.9"
"205","Baltimore Ravens","BAL","DST","104.0","15","6.9"
"207","Case Keenum","HOU","QB","103.6","8","13.0"
"208","Tennessee Titans","TEN","DST","103.0","15","6.9"
"209","Mohamed Sanu Sr.","CIN","WR","102.9","15","6.9"
"210","Reggie Wayne","IND","WR","102.8","7","14.7"
"211","Kenbrell Thompkins","NE","WR","102.6","11","9.3"
"212","Chris Ivory","NYJ","RB","102.4","14","7.3"
"213","New York Giants","NYG","DST","102.0","15","6.8"
"214","Roy Helu","WAS","RB","101.7","15","6.8"
"215","Josh Brown","NYG","K","101.0","15","6.7"
"215","Las Vegas Raiders","LV","DST","101.0","15","6.7"
"217","Michael Vick","PHI","QB","100.9","7","14.4"
"218","Matt Schaub","HOU","QB","100.8","9","11.2"
"219","Brent Celek","PHI","TE","100.1","15","6.7"
"220","David Akers","DET","K","100.0","15","6.7"
"221","Jake Locker","TEN","QB","99.8","7","14.3"
"222","Zach Ertz","PHI","TE","99.6","15","6.6"
"222","Ace Sanders","JAC","WR","99.6","14","7.1"
"224","Josh Scobee","JAC","K","99.0","15","6.6"
"224","Pittsburgh Steelers","PIT","DST","99.0","15","6.6"
"226","Mychal Rivera","LV","TE","98.4","15","6.6"
"227","Dexter McCluster","KC","RB","98.4","14","7.0"
"227","Austin Pettis","LAR","WR","98.4","15","6.6"
"229","Daniel Thomas","MIA","RB","97.9","14","7.0"
"230","Matt Cassel","MIN","QB","97.9","8","12.2"
"231","Greg Little","CLE","WR","97.6","15","6.5"
"232","Kris Durham","DET","WR","97.0","15","6.5"
"233","Zach Miller","SEA","TE","96.6","13","7.4"
"234","Green Bay Packers","GB","DST","96.0","15","6.4"
"234","Montee Ball","DEN","RB","96.0","15","6.4"
"236","Tyler Eifert","CIN","TE","95.5","15","6.4"
"237","Washington Commanders","WAS","DST","95.0","15","6.3"
"238","Santana Moss","WAS","WR","94.4","15","6.3"
"238","Andre Brown","NYG","RB","94.4","7","13.5"
"240","Vincent Brown","LAC","WR","94.2","15","6.3"
"241","Darren McFadden","LV","RB","93.2","9","10.4"
"242","Brandon Pettigrew","DET","TE","92.6","14","6.6"
"243","Jacoby Jones","BAL","WR","92.4","11","8.4"
"244","Detroit Lions","DET","DST","92.0","15","6.1"
"245","Davone Bess","CLE","WR","90.2","14","6.4"
"246","LeGarrette Blount","NE","RB","90.1","15","6.0"
"246","Chris Givens","LAR","WR","90.1","15","6.0"
"248","Brandon Weeden","CLE","QB","89.8","8","11.2"
"249","Los Angeles Chargers","LAC","DST","89.0","15","5.9"
"250","Rishard Matthews","MIA","WR","88.0","15","5.9"
"251","New York Jets","NYJ","DST","87.0","15","5.8"
"252","Randall Cobb","GB","WR","86.6","5","17.3"
"253","Cole Beasley","DAL","WR","86.1","13","6.6"
"254","Jacksonville Jaguars","JAC","DST","86.0","15","5.7"
"255","Jeff Cumberland","NYJ","TE","85.8","14","6.1"
"256","Andre Roberts","ARI","WR","85.7","15","5.7"
"257","Leonard Hankerson","WAS","WR","85.5","10","8.6"
"258","Jason Avant","PHI","WR","85.2","15","5.7"
"259","Dallas Clark","BAL","TE","83.3","12","6.9"
"260","Earl Bennett","CHI","WR","82.3","15","5.5"
"260","Jarius Wright","MIN","WR","82.3","15","5.5"
"262","James Starks","GB","RB","81.7","12","6.8"
"263","Brandon Bolden","NE","RB","81.3","11","7.4"
"264","Brandon Gibson","MIA","WR","80.6","7","11.5"
"265","Mike Brown","JAC","WR","79.3","10","7.9"
"266","Kyle Rudolph","MIN","TE","79.3","8","9.9"
"267","Kai Forbath","WAS","K","79.0","12","6.6"
"268","Nate Burleson","DET","WR","78.9","8","9.9"
"269","Kellen Clemens","LAR","QB","78.8","9","8.8"
"270","David Nelson","NYJ","WR","78.7","11","7.2"
"271","Matt McGloin","LV","QB","78.6","7","11.2"
"272","Jermaine Kearse","SEA","WR","78.6","15","5.2"
"273","Atlanta Falcons","ATL","DST","78.0","15","5.2"
"274","Jason Snelling","ATL","RB","77.9","13","6.0"
"275","Joseph Fauria","DET","TE","77.7","15","5.2"
"276","Rob Housler","ARI","TE","77.6","12","6.5"
"277","Kellen Winslow","NYJ","TE","77.4","11","7.0"
"277","Justin Hunter","TEN","WR","77.4","13","6.0"
"279","Bernard Pierce","BAL","RB","77.4","15","5.2"
"280","Justin Blackmon","JAC","WR","76.4","4","19.1"
"281","Lance Moore","NO","WR","75.4","12","6.3"
