"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Mike Evans (TB)","16","96","1,321","13.8","1,142","11.9","1,142","11.9","179","1.9","65","0.7","1","173","30.3%","197","5","13","71","15","5","1","0","45"
"2","Jordy Nelson (FA)","16","97","1,257","13.0","896","9.2","896","9.2","361","3.7","77","0.8","1","152","24.8%","191","2","20","47","19","7","4","2","60"
"3","Antonio Brown (FA)","15","106","1,284","12.1","850","8.0","850","8.0","434","4.1","48","0.5","3","154","26.1%","210","3","6","53","22","6","3","1","51"
"4","Odell Beckham Jr. (FA)","16","101","1,367","13.5","833","8.2","833","8.2","534","5.3","177","1.8","9","169","28.3%","214","10","12","52","20","9","6","3","75"
"5","T.Y. Hilton (FA)","16","91","1,448","15.9","1,106","12.2","1,106","12.2","342","3.8","98","1.1","0","155","27.1%","185","10","4","56","28","14","2","2","63"
"6","Julio Jones (TB)","14","83","1,409","17.0","1,013","12.2","1,013","12.2","396","4.8","186","2.2","7","129","24.3%","176","6","2","60","27","7","5","3","75"
"7","Davante Adams","16","75","997","13.3","611","8.1","611","8.1","386","5.1","165","2.2","7","121","19.7%","155","8","8","37","17","7","4","2","66"
"8","Brandin Cooks (HOU)","16","78","1,173","15.0","789","10.1","789","10.1","384","4.9","23","0.3","1","117","17.6%","156","2","11","38","15","11","6","3","98"
"9","Michael Thomas","15","92","1,137","12.4","654","7.1","654","7.1","483","5.3","163","1.8","10","121","18.2%","187","4","12","48","18","3","1","0","46"
"10","Doug Baldwin (FA)","16","94","1,128","12.0","656","7.0","656","7.0","472","5.0","116","1.2","3","125","22.8%","186","5","8","38","16","10","5","2","59"
"11","Michael Crabtree (FA)","16","89","1,003","11.3","751","8.4","751","8.4","252","2.8","143","1.6","2","145","24.6%","187","12","9","41","10","5","3","1","56"
"12","Amari Cooper (CLE)","16","83","1,153","13.9","717","8.6","717","8.6","436","5.3","134","1.6","0","132","22.4%","168","6","5","44","21","10","2","1","64"
"13","Tyrell Williams (FA)","16","69","1,059","15.3","626","9.1","626","9.1","433","6.3","94","1.4","4","119","21.1%","140","7","6","40","19","9","6","2","51"
"14","Rishard Matthews (FA)","16","65","945","14.5","742","11.4","742","11.4","203","3.1","58","0.9","1","108","22.0%","136","4","10","37","16","7","4","2","60"
"15","Tyreek Hill (MIA)","16","61","593","9.7","325","5.3","325","5.3","268","4.4","94","1.5","6","83","15.5%","115","4","6","21","8","5","2","0","49"
"16","Jarvis Landry (NO)","16","94","1,136","12.1","520","5.5","520","5.5","616","6.6","337","3.6","7","131","23.9%","181","6","4","45","16","7","3","2","71"
"17","Larry Fitzgerald (FA)","16","107","1,023","9.6","665","6.2","665","6.2","358","3.3","138","1.3","4","150","23.6%","215","5","14","47","8","1","0","0","32"
"18","Terrelle Pryor Sr. (FA)","16","77","1,007","13.1","781","10.1","781","10.1","226","2.9","96","1.2","1","140","25.1%","156","8","8","40","11","6","4","1","54"
"19","Demaryius Thomas (FA)","16","90","1,083","12.0","761","8.5","761","8.5","322","3.6","101","1.1","3","144","25.9%","193","9","9","47","10","5","3","1","55"
"20","Kelvin Benjamin (FA)","16","63","941","14.9","703","11.2","703","11.2","238","3.8","124","2.0","5","118","21.3%","129","5","10","46","10","3","3","1","50"
"21","Emmanuel Sanders (FA)","16","79","1,032","13.1","780","9.9","780","9.9","252","3.2","104","1.3","3","137","24.6%","155","2","6","42","12","5","2","1","64"
"22","Julian Edelman (FA)","16","98","1,106","11.3","612","6.2","612","6.2","494","5.0","210","2.1","9","159","29.1%","198","8","7","41","11","5","1","1","77"
"23","Golden Tate (FA)","16","91","1,077","11.8","458","5.0","458","5.0","619","6.8","229","2.5","8","135","23.3%","171","6","6","41","13","6","4","3","67"
"24","Mike Wallace (FA)","16","72","1,017","14.1","590","8.2","590","8.2","427","5.9","167","2.3","3","116","17.4%","150","6","2","38","10","6","5","5","95"
"25","Dez Bryant (FA)","13","50","796","15.9","656","13.1","656","13.1","140","2.8","54","1.1","4","96","20.0%","107","3","7","35","10","3","3","3","56"
"26","Kenny Britt (FA)","15","68","1,002","14.7","707","10.4","707","10.4","295","4.3","128","1.9","6","111","0%","141","4","8","38","15","7","4","1","66"
"27","Kenny Stills (FA)","16","42","726","17.3","533","12.7","533","12.7","193","4.6","17","0.4","0","81","17.3%","85","3","2","26","10","5","4","3","74"
"28","Allen Robinson II (LAR)","16","73","883","12.1","673","9.2","673","9.2","210","2.9","76","1.0","3","151","24.2%","162","10","11","38","11","3","1","0","42"
"29","Adam Thielen (MIN)","16","69","967","14.0","668","9.7","668","9.7","299","4.3","92","1.3","5","92","15.7%","140","1","5","39","16","5","2","1","71"
"30","DeSean Jackson (BAL)","15","56","1,005","17.9","724","12.9","724","12.9","281","5.0","69","1.2","1","100","16.9%","119","6","4","33","19","10","5","4","80"
"31","Jamison Crowder (BUF)","16","67","847","12.6","470","7.0","470","7.0","377","5.6","129","1.9","1","99","16.8%","136","6","4","31","11","6","3","2","55"
"32","Pierre Garcon (FA)","16","79","1,041","13.2","699","8.8","699","8.8","342","4.3","135","1.7","3","114","19.2%","160","1","5","42","15","3","3","1","70"
"33","Brandon LaFell (FA)","16","64","862","13.5","518","8.1","518","8.1","344","5.4","98","1.5","1","107","19.7%","129","6","6","34","11","4","4","1","86"
"34","A.J. Green (ARI)","10","66","964","14.6","706","10.7","706","10.7","258","3.9","77","1.2","1","100","18.5%","136","5","3","37","15","7","6","2","54"
"35","Willie Snead IV (SF)","15","72","895","12.4","508","7.1","508","7.1","387","5.4","125","1.7","5","104","15.7%","142","4","5","37","12","3","2","0","49"
"36","Sterling Shepard (NYG)","16","65","683","10.5","426","6.6","426","6.6","257","4.0","123","1.9","4","105","17.6%","132","4","6","35","6","3","0","0","32"
"37","DeAndre Hopkins (ARI)","16","78","954","12.2","675","8.7","675","8.7","279","3.6","99","1.3","4","151","26.2%","168","6","3","41","10","3","2","1","51"
"38","Marvin Jones Jr. (JAC)","15","55","930","16.9","693","12.6","693","12.6","237","4.3","147","2.7","1","103","17.8%","111","8","6","34","16","9","4","2","73"
"39","Cole Beasley (FA)","16","75","833","11.1","406","5.4","406","5.4","427","5.7","54","0.7","4","98","20.5%","149","4","6","37","6","2","1","0","47"
"40","Steve Smith (FA)","14","70","799","11.4","518","7.4","518","7.4","281","4.0","167","2.4","6","101","15.2%","142","4","6","27","12","5","2","1","52"
"41","Cameron Meredith (FA)","14","66","888","13.5","579","8.8","579","8.8","309","4.7","150","2.3","3","97","17.6%","138","7","2","39","13","7","1","1","50"
"42","Quincy Enunwa (FA)","16","58","857","14.8","505","8.7","505","8.7","352","6.1","128","2.2","6","105","19.2%","123","7","7","34","14","6","4","3","69"
"43","Marqise Lee (FA)","16","63","851","13.5","513","8.1","513","8.1","338","5.4","122","1.9","4","105","16.9%","131","4","2","39","13","4","1","1","51"
"44","Stefon Diggs (BUF)","13","84","903","10.8","584","7.0","584","7.0","319","3.8","101","1.2","6","112","19.1%","161","2","5","33","10","5","3","0","46"
"45","Anquan Boldin (FA)","16","67","584","8.7","353","5.3","353","5.3","231","3.4","103","1.5","2","95","16.4%","132","2","15","21","5","1","0","0","35"
"46","J.J. Nelson (FA)","15","34","568","16.7","394","11.6","394","11.6","174","5.1","93","2.7","0","74","11.6%","73","5","4","22","9","5","4","1","80"
"47","Ted Ginn Jr. (FA)","16","54","752","13.9","570","10.6","570","10.6","182","3.4","18","0.3","1","95","17.2%","113","5","0","27","9","7","4","3","88"
"48","Taylor Gabriel (FA)","13","35","579","16.5","295","8.4","295","8.4","284","8.1","38","1.1","3","50","9.4%","68","0","3","19","8","5","3","2","76"
"49","Dontrelle Inman (FA)","16","58","810","14.0","596","10.3","596","10.3","214","3.7","74","1.3","4","97","17.2%","117","2","2","35","10","4","2","2","57"
"50","Jordan Matthews (SF)","14","73","804","11.0","561","7.7","561","7.7","243","3.3","86","1.2","1","117","19.4%","154","8","6","33","13","3","1","1","54"
"51","DeVante Parker (NE)","15","56","744","13.3","508","9.1","508","9.1","236","4.2","105","1.9","2","87","18.6%","109","2","4","29","9","4","4","3","56"
"52","Brandon Marshall (FA)","15","59","788","13.4","612","10.4","612","10.4","176","3.0","73","1.2","0","128","23.4%","126","6","9","38","10","4","1","0","41"
"53","Alshon Jeffery (FA)","12","52","821","15.8","622","12.0","622","12.0","199","3.8","75","1.4","3","94","17.1%","115","5","4","38","12","5","2","1","54"
"54","Chris Hogan (FA)","15","38","680","17.9","439","11.6","439","11.6","241","6.3","53","1.4","1","58","10.6%","80","4","5","24","11","6","4","3","79"
"55","Mohamed Sanu Sr. (FA)","15","59","653","11.1","366","6.2","366","6.2","287","4.9","81","1.4","1","81","15.3%","123","4","5","28","6","1","1","1","59"
"56","Tavon Austin (FA)","15","58","509","8.8","237","4.1","237","4.1","272","4.7","101","1.7","3","106","0%","117","8","5","19","6","2","1","0","43"
"57","Randall Cobb (GB)","13","60","610","10.2","246","4.1","246","4.1","364","6.1","138","2.3","8","84","13.7%","117","2","6","25","7","3","1","0","47"
"58","Travis Benjamin (FA)","14","47","677","14.4","431","9.2","431","9.2","246","5.2","48","1.0","2","75","13.3%","96","5","3","23","10","6","6","2","54"
"59","Tyler Lockett (SEA)","15","41","597","14.6","381","9.3","381","9.3","216","5.3","35","0.9","0","66","12.0%","83","2","1","19","9","6","3","2","57"
"60","Jeremy Kerley (FA)","16","64","667","10.4","460","7.2","460","7.2","207","3.2","30","0.5","1","115","0%","134","3","4","25","8","1","0","0","33"
"61","Terrance Williams (FA)","16","44","594","13.5","429","9.8","429","9.8","165","3.8","44","1.0","2","61","12.7%","87","2","3","31","6","4","2","0","47"
"62","Michael Floyd (FA)","15","37","488","13.2","419","11.3","419","11.3","69","1.9","17","0.5","2","76","11.9%","81","5","7","24","4","2","0","0","39"
"63","Eli Rogers (FA)","13","48","594","12.4","390","8.1","390","8.1","204","4.3","22","0.5","0","66","11.1%","98","2","3","22","11","4","0","0","39"
"64","Adam Humphries (FA)","15","55","622","11.3","240","4.4","240","4.4","382","6.9","119","2.2","3","83","14.5%","100","4","6","24","7","3","2","0","42"
"65","William Fuller V (FA)","14","47","635","13.5","397","8.4","397","8.4","238","5.1","78","1.7","2","92","15.9%","99","5","4","26","11","3","1","1","53"
"66","Brian Quick (FA)","16","41","564","13.8","387","9.4","387","9.4","177","4.3","97","2.4","3","77","0%","87","3","4","20","7","4","3","1","65"
"67","Seth Roberts (FA)","16","38","397","10.4","202","5.3","202","5.3","195","5.1","115","3.0","4","77","13.1%","88","13","8","18","5","1","1","0","41"
"68","Robbie Anderson (ARI)","16","42","587","14.0","456","10.9","456","10.9","131","3.1","28","0.7","0","78","14.3%","91","4","2","17","10","4","4","1","52"
"69","Donte Moncrief (FA)","9","30","307","10.2","229","7.6","229","7.6","78","2.6","34","1.1","1","56","9.8%","60","2","5","12","3","2","0","0","39"
"70","Tyler Boyd (CIN)","16","54","603","11.2","402","7.4","402","7.4","201","3.7","66","1.2","1","81","14.9%","109","4","6","23","9","1","0","0","30"
"71","Breshad Perriman (TB)","16","33","499","15.1","327","9.9","327","9.9","172","5.2","19","0.6","0","66","9.9%","71","6","1","19","8","5","3","1","53"
"72","Robert Woods (TEN)","13","51","613","12.0","489","9.6","489","9.6","124","2.4","49","1.0","0","76","16.6%","103","2","5","26","10","1","0","0","34"
"73","Phillip Dorsett II (HOU)","15","33","528","16.0","378","11.5","378","11.5","150","4.5","19","0.6","0","59","10.3%","68","5","3","16","8","6","4","4","64"
"74","Allen Hurns (FA)","11","35","477","13.6","266","7.6","266","7.6","211","6.0","72","2.1","2","76","12.2%","81","8","5","18","9","4","1","0","42"
"75","Jeremy Maclin (FA)","12","44","536","12.2","395","9.0","395","9.0","141","3.2","50","1.1","2","76","14.2%","90","3","4","26","6","2","1","0","44"
"76","John Brown (FA)","15","39","517","13.3","418","10.7","418","10.7","99","2.5","25","0.6","0","73","11.5%","80","2","3","26","5","1","0","0","30"
"77","Tajae Sharpe (FA)","16","41","522","12.7","432","10.5","432","10.5","90","2.2","20","0.5","1","83","16.9%","87","3","1","25","7","2","0","0","34"
"78","Malcolm Mitchell (FA)","14","32","401","12.5","234","7.3","234","7.3","167","5.2","55","1.7","4","48","8.8%","65","4","7","17","6","2","1","1","56"
"79","Devin Funchess (FA)","15","23","371","16.1","268","11.7","268","11.7","103","4.5","63","2.7","3","58","10.5%","53","6","7","15","8","2","1","0","48"
"80","Victor Cruz (FA)","15","39","586","15.0","397","10.2","397","10.2","189","4.8","102","2.6","1","72","12.1%","86","7","3","21","10","6","3","0","48"
"81","Marquise Goodwin (SEA)","15","29","431","14.9","333","11.5","333","11.5","98","3.4","36","1.2","0","68","14.8%","59","2","2","15","3","2","2","2","84"
"82","Kendall Wright (FA)","11","29","416","14.3","292","10.1","292","10.1","124","4.3","15","0.5","1","43","8.8%","61","2","1","17","6","3","2","0","48"
"83","Corey Coleman (FA)","10","33","413","12.5","316","9.6","316","9.6","97","2.9","54","1.6","5","73","13.1%","66","3","1","18","4","3","2","1","58"
"84","Jermaine Kearse (FA)","16","41","510","12.4","372","9.1","372","9.1","138","3.4","42","1.0","2","89","16.2%","84","2","4","22","7","3","0","0","36"
"85","Sammie Coates (FA)","14","21","435","20.7","326","15.5","326","15.5","109","5.2","26","1.2","1","49","8.3%","42","5","3","12","7","6","6","2","72"
"86","Sammy Watkins (GB)","8","28","430","15.4","378","13.5","378","13.5","52","1.9","9","0.3","0","52","11.3%","58","2","3","17","4","3","2","2","62"
"87","Chris Conley (FA)","16","44","530","12.0","363","8.3","363","8.3","167","3.8","48","1.1","1","69","12.9%","90","3","3","23","4","3","0","0","39"
"88","Nelson Agholor (NE)","15","36","365","10.1","267","7.4","267","7.4","98","2.7","54","1.5","2","69","11.4%","82","7","3","12","3","2","1","0","40"
"89","Dorial Green-Beckham (FA)","15","36","392","10.9","247","6.9","247","6.9","145","4.0","68","1.9","2","74","12.3%","79","6","5","18","5","0","0","0","26"
"90","Albert Wilson (FA)","16","31","279","9.0","111","3.6","111","3.6","168","5.4","64","2.1","2","51","9.5%","64","2","2","10","4","1","1","0","42"
"91","Andrew Hawkins (FA)","16","33","324","9.8","196","5.9","196","5.9","128","3.9","38","1.2","3","54","9.7%","67","3","6","14","5","1","0","0","33"
"92","Eddie Royal (FA)","9","33","369","11.2","182","5.5","182","5.5","187","5.7","35","1.1","2","43","7.8%","63","0","4","14","3","2","1","1","64"
"93","Russell Shepard (FA)","14","23","341","14.8","265","11.5","265","11.5","76","3.3","27","1.2","2","40","7.0%","47","2","3","17","5","0","0","0","24"
"94","Danny Amendola (FA)","12","23","243","10.6","170","7.4","170","7.4","73","3.2","9","0.4","0","29","4.6%","44","0","7","12","1","1","0","0","32"
"95","Brandon Coleman (FA)","16","26","281","10.8","207","8.0","207","8.0","74","2.8","18","0.7","0","38","5.7%","57","4","6","10","2","1","0","0","38"
"96","Torrey Smith (FA)","12","20","267","13.4","206","10.3","206","10.3","61","3.1","2","0.1","0","49","10.1%","48","7","3","12","4","1","1","1","53"
"97","Justin Hardy (FA)","16","21","203","9.7","155","7.4","155","7.4","48","2.3","22","1.0","1","31","5.8%","43","1","5","9","2","0","0","0","27"
