"Rank","Player","Team","Position","Points","Games","Avg"
"1","Adrian Peterson","MIN","RB","347.4","16","21.7"
"2","Drew Brees","NO","QB","345.6","16","21.6"
"3","Aaron Rodgers","GB","QB","344.5","16","21.5"
"4","Calvin Johnson","DET","WR","342.4","16","21.4"
"5","Tom Brady","NE","QB","340.2","16","21.3"
"6","Brandon Marshall","CHI","WR","334.6","16","20.9"
"7","Cam Newton","CAR","QB","323.3","16","20.2"
"8","Robert Griffin III","WAS","QB","317.4","15","21.2"
"9","Doug Martin","TB","RB","311.6","16","19.5"
"10","Peyton Manning","DEN","QB","311.0","16","19.4"
"11","Matt Ryan","ATL","QB","305.0","16","19.1"
"12","Arian Foster","HOU","RB","302.1","16","18.9"
"13","A.J. Green","CIN","WR","299.8","16","18.7"
"14","Dez Bryant","DAL","WR","299.7","16","18.7"
"15","Andre Johnson","HOU","WR","295.8","16","18.5"
"16","Demaryius Thomas","DEN","WR","291.4","16","18.2"
"17","Wes Welker","NE","WR","289.4","16","18.1"
"18","Ray Rice","BAL","RB","283.1","16","17.7"
"19","Tony Romo","DAL","QB","279.7","16","17.5"
"20","Matthew Stafford","DET","QB","276.5","16","17.3"
"21","Andrew Luck","IND","QB","276.4","16","17.3"
"22","Russell Wilson","SEA","QB","275.4","16","17.2"
"23","Marshawn Lynch","SEA","RB","269.6","16","16.9"
"24","Eric Decker","DEN","WR","269.4","16","16.8"
"25","Roddy White","ATL","WR","269.1","16","16.8"
"26","Reggie Wayne","IND","WR","269.0","16","16.8"
"27","Julio Jones","ATL","WR","261.8","16","16.4"
"28","Vincent Jackson","TB","WR","260.4","16","16.3"
"29","C.J. Spiller","BUF","RB","255.3","16","16.0"
"30","Victor Cruz","NYG","WR","255.2","16","16.0"
"31","Trent Richardson","CLE","RB","254.7","15","17.0"
"32","Marques Colston","NO","WR","254.4","16","15.9"
"33","Alfred Morris","WAS","RB","252.0","16","15.8"
"34","Andy Dalton","CIN","QB","250.7","16","15.7"
"35","Michael Crabtree","SF","WR","250.3","16","15.6"
"36","Josh Freeman","TB","QB","248.6","16","15.5"
"37","Jamaal Charles","KC","RB","239.5","16","15.0"
"38","Jimmy Graham","NO","TE","237.2","15","15.8"
"39","Joe Flacco","BAL","QB","235.1","16","14.7"
"40","Randall Cobb","GB","WR","234.6","15","15.6"
"41","Tony Gonzalez","ATL","TE","234.0","16","14.6"
"42","Eli Manning","NYG","QB","233.0","16","14.6"
"43","Jason Witten","DAL","TE","231.9","16","14.5"
"44","Sam Bradford","LAR","QB","230.4","16","14.4"
"45","James Jones","GB","WR","226.4","16","14.2"
"46","Frank Gore","SF","RB","224.8","16","14.1"
"47","Carson Palmer","LV","QB","224.3","15","15.0"
"48","Chicago Bears","CHI","DST","224.0","16","14.0"
"49","Ben Roethlisberger","PIT","QB","223.9","13","17.2"
"50","Matt Schaub","HOU","QB","223.8","16","14.0"
"51","Matt Forte","CHI","RB","221.4","15","14.8"
"52","Mike Williams","TB","WR","217.7","16","13.6"
"53","Steve Johnson","BUF","WR","217.6","16","13.6"
"54","Darren Sproles","NO","RB","216.1","13","16.6"
"55","Steve Smith","CAR","WR","215.1","16","13.4"
"56","Ryan Fitzpatrick","BUF","QB","213.7","16","13.4"
"57","Chris Johnson","TEN","RB","211.5","16","13.2"
"58","Philip Rivers","LAC","QB","208.2","16","13.0"
"59","Reggie Bush","MIA","RB","206.8","16","12.9"
"60","Stevan Ridley","NE","RB","205.4","16","12.8"
"61","Lance Moore","NO","WR","205.1","15","13.7"
"62","Heath Miller","PIT","TE","202.6","15","13.5"
"63","Steven Jackson","LAR","RB","200.6","16","12.5"
"64","LeSean McCoy","PHI","RB","199.3","12","16.6"
"65","Rob Gronkowski","NE","TE","198.0","11","18.0"
"66","Jeremy Maclin","PHI","WR","194.7","15","13.0"
"67","Mike Wallace","PIT","WR","194.3","15","13.0"
"67","Miles Austin","DAL","WR","194.3","16","12.1"
"69","Christian Ponder","MIN","QB","194.1","16","12.1"
"70","Cecil Shorts","JAC","WR","192.5","14","13.8"
"71","Brandon Lloyd","NE","WR","189.1","16","11.8"
"72","Shonn Greene","NYJ","RB","186.4","16","11.7"
"73","Brian Hartline","MIA","WR","186.3","16","11.6"
"74","Justin Blackmon","JAC","WR","184.8","16","11.6"
"75","Jay Cutler","CHI","QB","184.5","15","12.3"
"76","Brandon Myers","LV","TE","183.6","16","11.5"
"77","Anquan Boldin","BAL","WR","183.4","15","12.2"
"78","Torrey Smith","BAL","WR","183.4","16","11.5"
"79","Greg Olsen","CAR","TE","183.3","16","11.5"
"80","Mikel Leshoure","DET","RB","183.2","14","13.1"
"81","Ryan Tannehill","MIA","QB","182.7","16","11.4"
"82","T.Y. Hilton","IND","WR","181.0","15","12.1"
"83","Ahmad Bradshaw","NYG","RB","179.0","14","12.8"
"84","Seattle Seahawks","SEA","DST","178.0","16","11.1"
"85","Michael Turner","ATL","RB","175.8","16","11.0"
"86","Larry Fitzgerald","ARI","WR","174.8","16","10.9"
"87","Colin Kaepernick","SF","QB","174.0","13","13.4"
"88","BenJarvus Green-Ellis","CIN","RB","173.8","15","11.6"
"89","Andre Roberts","ARI","WR","172.8","15","11.5"
"90","Antonio Brown","PIT","WR","171.1","13","13.2"
"91","Denver Broncos","DEN","DST","171.0","16","10.7"
"92","Dennis Pitta","BAL","TE","169.9","16","10.6"
"93","Owen Daniels","HOU","TE","169.6","15","11.3"
"94","Sidney Rice","SEA","WR","168.4","16","10.5"
"95","Blair Walsh","MIN","K","168.0","16","10.5"
"96","Jordy Nelson","GB","WR","167.5","12","14.0"
"97","Malcom Floyd","LAC","WR","167.4","14","12.0"
"98","New England Patriots","NE","DST","167.0","16","10.4"
"99","Denarius Moore","LV","WR","166.6","15","11.1"
"100","Stephen Gostkowski","NE","K","166.0","16","10.4"
"101","Jermaine Gresham","CIN","TE","165.7","16","10.4"
"102","Brandon Weeden","CLE","QB","165.7","15","11.1"
"103","Percy Harvin","MIN","WR","161.3","9","17.9"
"104","Matt Bryant","ATL","K","161.0","16","10.1"
"105","Golden Tate","SEA","WR","160.7","15","10.7"
"106","Josh Gordon","CLE","WR","158.5","16","9.9"
"107","Kyle Rudolph","MIN","TE","158.3","16","9.9"
"108","Cincinnati Bengals","CIN","DST","158.0","16","9.9"
