"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","LeSean McCoy","","","RB1","","","","1","","1.4"
"2","Adrian Peterson","","","RB2","","","","3","","2.4"
"3","Jamaal Charles","","","RB3","","","","2","","2.4"
"4","Matt Forte","","","RB4","","","","4","","4.4"
"5","Eddie Lacy","","","RB5","","","","5","","6.4"
"6","Calvin Johnson","","","WR1","","","","6","","6.4"
"7","Peyton Manning","","","QB1","","","","7","","6.6"
"8","Marshawn Lynch","","","RB6","","","","9","","8.6"
"9","Jimmy Graham","","","TE1","","","","10","","9.2"
"10","Demaryius Thomas","","","WR2","","","","8","","10.8"
"11","Dez Bryant","","","WR3","","","","11","","12.6"
"12","Drew Brees","","","QB2","","","","15","","12.8"
"13","DeMarco Murray","","","RB7","","","","14","","13.6"
"14","Aaron Rodgers","GB","9","QB3","","","","19","","14.6"
"15","Montee Ball","","","RB8","","","","12","","14.6"
"16","A.J. Green","ARI","4","WR4","","","","13","","14.6"
"17","Brandon Marshall","","","WR5","","","","17","","17.6"
"18","Arian Foster","","","RB9","","","","22","","18.4"
"19","Julio Jones","TB","7","WR6","","","","16","","18.4"
"20","Giovani Bernard","TB","7","RB10","","","","20","","19.8"
"21","Doug Martin","","","RB11","","","","18","","21.0"
"22","Jordy Nelson","","","WR7","","","","21","","21.8"
"23","Le'Veon Bell","","","RB12","","","","29","","23.4"
"24","Alfred Morris","","","RB13","","","","25","","24.4"
"25","Antonio Brown","","","WR8","","","","23","","25.0"
"26","Alshon Jeffery","","","WR9","","","","24","","25.6"
"27","Zac Stacy","","","RB14","","","","31","","27.8"
"28","Julius Thomas","","","TE2","","","","27","","28.8"
"29","Randall Cobb","GB","9","WR10","","","","28","","29.4"
"30","Andre Ellington","","","RB15","","","","26","","30.6"
"31","Rob Gronkowski","","","TE3","","","","30","","32.4"
"32","Vincent Jackson","","","WR11","","","","36","","35.4"
"33","Reggie Bush","","","RB16","","","","33","","36.2"
"34","Keenan Allen","LAC","","WR12","","","","32","","36.2"
"35","Larry Fitzgerald","","","WR13","","","","41","","36.4"
"36","Matthew Stafford","LAR","","QB4","","","","43","","36.8"
"37","Andre Johnson","","","WR14","","","","44","","37.4"
"38","Andrew Luck","","","QB5","","","","50","","39.8"
"39","Ryan Mathews","","","RB17","","","","45","","41.0"
"40","C.J. Spiller","","","RB18","","","","40","","42.4"
"41","Victor Cruz","","","WR15","","","","48","","42.6"
"42","Roddy White","","","WR16","","","","39","","43.2"
"43","Pierre Garcon","","","WR17","","","","49","","43.6"
"44","Toby Gerhart","","","RB19","","","","38","","45.6"
"45","Vernon Davis","","","TE4","","","","56","","46.6"
"46","Cordarrelle Patterson","ATL","9","RB20","","","","35","","46.8"
"47","Rashad Jennings","","","RB21","","","","37","","48.2"
"48","Michael Crabtree","","","WR18","","","","57","","48.6"
"49","Frank Gore","","","RB22","","","","47","","49.0"
"50","Percy Harvin","","","WR19","","","","46","","50.0"
"51","Tom Brady","TB","7","QB6","","","","54","","52.6"
"52","DeSean Jackson","BAL","11","WR20","","","","60","","53.2"
"53","Nick Foles","IND","10","QB7","","","","66","","57.2"
"54","Shane Vereen","","","RB23","","","","34","","57.8"
"55","Jason Witten","","","TE5","","","","69","","58.6"
"56","Seattle Seahawks","DST","4","DST1","","","","89","","60.4"
"57","Michael Floyd","","","WR21","","","","51","","60.8"
"58","Jordan Cameron","","","TE6","","","","61","","60.8"
"59","Matt Ryan","IND","10","QB8","","","","64","","62.4"
"60","Cam Newton","","","QB9","","","","84","","62.4"
"61","Ben Tate","","","RB24","","","","52","","64.2"
"62","Chris Johnson","","","RB25","","","","58","","64.4"
"63","Wes Welker","","","WR22","","","","73","","65.6"
"64","Torrey Smith","","","WR23","","","","62","","66.2"
"65","Joique Bell","","","RB26","","","","55","","66.6"
"66","T.Y. Hilton","","","WR24","","","","59","","67.0"
"67","Ray Rice","","","RB27","","","","53","","67.4"
"68","Bishop Sankey","","","RB28","","","","63","","67.4"
"69","Emmanuel Sanders","","","WR25","","","","42","","68.6"
"70","Julian Edelman","","","WR26","","","","65","","71.0"
"71","Robert Griffin III","","","QB10","","","","104","","76.2"
"72","Greg Olsen","","","TE7","","","","95","","76.6"
"73","Jeremy Maclin","","","WR27","","","","68","","76.6"
"74","Trent Richardson","","","RB29","","","","70","","76.8"
"75","Marques Colston","","","WR28","","","","71","","77.4"
"76","Colin Kaepernick","","","QB11","","","","96","","79.4"
"77","Mike Wallace","","","WR29","","","","77","","79.4"
"78","Dennis Pitta","","","TE8","","","","91","","81.6"
"79","Tony Romo","","","QB12","","","","83","","83.4"
"80","Kyle Rudolph","TB","7","TE9","","","","74","","85.2"
"81","Maurice Jones-Drew","","","RB30","","","","67","","85.8"
"82","Golden Tate","","","WR30","","","","76","","85.8"
"83","Jordan Reed","","","TE10","","","","82","","86.8"
"84","Stephen Gostkowski","","","K1","","","","110","","87.2"
"85","Kendall Wright","","","WR31","","","","90","","87.6"
"86","Russell Wilson","DEN","4","QB13","","","","102","","88.0"
"87","Terrance Williams","","","WR32","","","","80","","90.4"
"88","Eric Decker","","","WR33","","","","92","","90.8"
"89","Reggie Wayne","","","WR34","","","","85","","91.2"
"90","Pierre Thomas","","","RB31","","","","72","","91.8"
"91","Jay Cutler","","","QB14","","","","78","","92.4"
"92","Steven Jackson","","","RB32","","","","79","","94.2"
"93","Fred Jackson","","","RB33","","","","88","","100.6"
"94","Darren Sproles","","","RB34","","","","81","","101.2"
"95","Philip Rivers","","","QB15","","","","101","","101.2"
"96","Brandin Cooks","HOU","10","WR35","","","","75","","101.4"
"97","Knowshon Moreno","","","RB35","","","","86","","101.6"
"98","Carolina Panthers","DST","12","DST2","","","","","","79.3"
"99","San Francisco 49ers","DST","8","DST3","","","","","","79.5"
"100","Zach Ertz","ARI","4","TE11","","","","99","","111.6"
"101","Los Angeles Rams","DST","","DST4","","","","","","91.5"
"102","Martellus Bennett","","","TE12","","","","106","","115.4"
"103","Stevan Ridley","","","RB36","","","","","","95.0"
"104","Denver Broncos","DST","4","DST5","","","","","","96.5"
