"Rank","Player","Team","Points","Games","Avg"
"1","Michael Thomas","NO","374.6","16","23.4"
"2","Chris Godwin","TB","276.1","14","19.7"
"3","Julio Jones","ATL","274.1","15","18.3"
"4","Cooper Kupp","LAR","270.5","16","16.9"
"5","DeAndre Hopkins","HOU","269.5","15","18.0"
"6","Keenan Allen","LAC","261.5","16","16.3"
"7","Julian Edelman","NE","256.3","16","16.0"
"8","Allen Robinson II","CHI","254.9","16","15.9"
"9","Kenny Golladay","DET","248.0","16","15.5"
"10","Amari Cooper","DAL","246.5","16","15.4"
"11","DeVante Parker","MIA","246.2","16","15.4"
"12","Jarvis Landry","CLE","237.4","16","14.8"
"13","Tyler Lockett","SEA","235.2","16","14.7"
"14","Robert Woods","LAR","232.9","15","15.5"
"15","Mike Evans","TB","232.7","13","17.9"
"16","DJ Moore","CAR","230.5","15","15.4"
"17","D.J. Chark Jr.","JAC","225.8","15","15.1"
"18","Tyler Boyd","CIN","222.9","16","13.9"
"19","Courtland Sutton","DEN","222.4","16","13.9"
"20","John Brown","BUF","219.8","15","14.7"
"21","A.J. Brown","TEN","217.1","16","13.6"
"22","Michael Gallup","DAL","212.7","14","15.2"
"23","Davante Adams","GB","212.7","12","17.7"
"24","Stefon Diggs","MIN","212.1","15","14.1"
"25","Odell Beckham Jr.","CLE","201.3","16","12.6"
"26","Jamison Crowder","NYJ","197.7","16","12.4"
"27","Calvin Ridley","ATL","197.0","13","15.2"
"28","Marvin Jones Jr.","DET","193.9","13","14.9"
"29","Terry McLaurin","WAS","191.9","14","13.7"
"30","Emmanuel Sanders","Multi","190.3","17","11.2"
"31","Deebo Samuel","SF","189.1","15","12.6"
"32","Tyreek Hill","KC","188.3","12","15.7"
"33","DK Metcalf","SEA","187.1","16","11.7"
"34","Cole Beasley","BUF","184.8","15","12.3"
"35","Larry Fitzgerald","ARI","177.4","16","11.1"
"36","Curtis Samuel","CAR","171.7","16","10.7"
"37","Darius Slayton","NYG","170.0","14","12.1"
"38","Christian Kirk","ARI","168.2","13","12.9"
"39","Diontae Johnson","PIT","163.1","16","10.2"
"40","Robbie Anderson","NYJ","162.3","16","10.1"
"41","Mike Williams","LAC","161.3","15","10.8"
"42","Dede Westbrook","JAC","156.7","15","10.5"
"43","Chris Conley","JAC","156.5","16","9.8"
"44","Randall Cobb","DAL","154.9","15","10.3"
"45","Golden Tate","NYG","152.2","11","13.8"
"46","Marquise Brown","BAL","146.4","14","10.5"
"47","Tyrell Williams","LV","143.1","14","10.2"
"48","Sterling Shepard","NYG","141.8","10","14.2"
"49","Danny Amendola","DET","140.6","15","9.4"
"50","Sammy Watkins","KC","138.5","14","9.9"
"51","Breshad Perriman","TB","138.1","14","9.9"
"52","Zach Pascal","IND","135.3","16","8.5"
"53","William Fuller V","HOU","134.0","11","12.2"
"54","James Washington","PIT","133.5","15","8.9"
"55","Hunter Renfrow","LV","133.5","13","10.3"
"56","Anthony Miller","CHI","127.5","16","8.0"
"57","T.Y. Hilton","IND","125.1","10","12.5"
"58","Mohamed Sanu Sr.","Multi","124.1","15","8.3"
"59","Alshon Jeffery","PHI","122.2","10","12.2"
"60","Kenny Stills","HOU","120.1","13","9.2"
"61","Mecole Hardman","KC","119.5","16","7.5"
"62","Brandin Cooks","LAR","117.5","14","8.4"
"63","Corey Davis","TEN","115.1","15","7.7"
"64","Adam Thielen","MIN","114.4","10","11.4"
"65","JuJu Smith-Schuster","PIT","113.2","12","9.4"
"66","Steven Sims Jr.","WAS","109.5","16","6.8"
"67","Allen Lazard","GB","102.8","16","6.4"
"68","Auden Tate","CIN","101.5","13","7.8"
"69","Demarcus Robinson","KC","100.9","16","6.3"
"70","Phillip Dorsett II","NE","100.8","14","7.2"
"71","Russell Gage","ATL","98.8","16","6.2"
"72","Kendrick Bourne","SF","97.8","16","6.1"
"73","Alex Erickson","CIN","96.2","16","6.0"
"74","Willie Snead IV","BAL","95.1","16","5.9"
"75","John Ross","CIN","95.0","8","11.9"
"76","Nelson Agholor","PHI","94.0","11","8.6"
"77","Preston Williams","MIA","90.8","8","11.4"
"78","Taylor Gabriel","CHI","90.3","9","10.0"
"79","Albert Wilson","MIA","89.4","13","6.9"
"80","Adam Humphries","TEN","86.5","12","7.2"
"81","Ted Ginn Jr.","NO","85.9","16","5.4"
"82","Demaryius Thomas","Multi","85.3","11","7.8"
"83","Allen Hurns","MIA","83.6","14","6.0"
"84","Marquez Valdes-Scantling","GB","83.3","16","5.2"
"85","Tajae Sharpe","TEN","81.9","15","5.5"
"86","Bisi Johnson","MIN","79.0","16","4.9"
"87","Keelan Cole Sr.","JAC","78.7","16","4.9"
"88","Geronimo Allison","GB","75.4","16","4.7"
"89","Josh Gordon","Multi","74.7","11","6.8"
"90","Damiere Byrd","ARI","71.9","11","6.5"
"91","Tre'Quan Smith","NO","71.4","11","6.5"
"92","Kelvin Harmon","WAS","66.9","16","4.2"
"93","Cody Latimer","NYG","66.0","15","4.4"
"94","Paul Richardson Jr.","WAS","64.5","10","6.5"
"95","DaeSean Hamilton","DEN","63.7","16","4.0"
"96","Isaiah McKenzie","BUF","63.3","15","4.2"
"97","Josh Reynolds","LAR","61.9","16","3.9"
"97","Jakobi Meyers","NE","61.9","15","4.1"
"99","Seth Roberts","BAL","60.1","16","3.8"
"100","Greg Ward","PHI","59.9","7","8.6"
"101","David Moore","SEA","59.6","15","4.0"
"102","Jarius Wright","CAR","56.9","16","3.6"
"103","Marcus Johnson","IND","56.7","9","6.3"
"104","Pharoh Cooper","Multi","55.5","13","4.3"
"105","Keke Coutee","HOU","52.8","10","5.3"
"106","Trey Quinn","WAS","51.8","12","4.3"
"107","Miles Boykin","BAL","50.8","16","3.2"
"108","Zay Jones","Multi","48.9","15","3.3"
"109","Vyncint Smith","Multi","48.7","14","3.5"
"110","Isaiah Ford","MIA","48.5","9","5.4"
"111","Jaron Brown","SEA","48.0","14","3.4"
"112","Tavon Austin","DAL","47.4","14","3.4"
"113","Bennie Fowler III","NYG","46.3","8","5.8"
"114","KeeSean Johnson","ARI","46.0","10","4.6"
"115","Jakeem Grant Sr.","MIA","45.9","10","4.6"
"116","Chester Rogers","IND","45.7","12","3.8"
"117","Malik Turner","SEA","45.5","15","3.0"
"118","Justin Watson","TB","42.9","16","2.7"
"119","Javon Wims","CHI","42.6","16","2.7"
"120","Scotty Miller","TB","40.6","10","4.1"
"121","Jake Kumerow","GB","39.9","14","2.9"
"122","Marvin Hall","DET","39.8","9","4.4"
"123","N'Keal Harry","NE","39.4","7","5.6"
"124","Justin Hardy","ATL","38.5","16","2.4"
"125","Marquise Goodwin","SF","38.1","9","4.2"
"125","Parris Campbell","IND","38.1","7","5.4"
"127","Damion Ratley","CLE","38.0","13","2.9"
"128","Tim Patrick","DEN","37.8","8","4.7"
"129","DeSean Jackson","PHI","36.9","3","12.3"
"130","Andy Isabella","ARI","35.4","15","2.4"
"131","Byron Pringle","KC","35.0","16","2.2"
"132","Duke Williams","BUF","34.6","4","8.7"
"133","Dante Pettis","SF","34.5","11","3.1"
"134","Laquon Treadwell","MIN","33.4","14","2.4"
"135","J.J. Arcega-Whiteside","PHI","32.9","16","2.1"
"136","Dontrelle Inman","Multi","30.1","7","4.3"
"137","Kalif Raymond","TEN","29.5","8","3.7"
"138","Trevor Davis","Multi","28.4","14","2.0"
"139","Richie James Jr.","SF","26.4","16","1.7"
"140","DeAndre Carter","HOU","25.2","16","1.6"
"141","Keelan Doss","Multi","24.3","8","3.0"
"142","Mack Hollins","Multi","22.5","16","1.4"
"143","Devin Smith","DAL","22.3","4","5.6"
"144","Deon Cain","Multi","21.4","13","1.7"
"145","Olamide Zaccheaus","ATL","20.5","10","2.1"
"146","Christian Blake","ATL","20.1","9","2.2"
"147","Brandon Zylstra","CAR","18.6","8","2.3"
"148","Damion Willis","CIN","17.2","10","1.7"
"149","Antonio Callaway","CLE","16.9","5","3.4"
"150","Antonio Brown","NE","16.1","1","16.1"
"151","Deonte Harty","NO","15.5","14","1.1"
"151","Rashard Higgins","CLE","15.5","10","1.6"
"151","Braxton Berrios","NYJ","15.5","16","1.0"
"154","Chris Hogan","CAR","14.7","7","2.1"
"155","Marcell Ateman","LV","14.6","12","1.2"
"156","J.J. Nelson","Multi","13.6","2","6.8"
"157","Riley Ridley","CHI","12.9","5","2.6"
"158","T.J. Jones","NYG","12.8","3","4.3"
"159","Robert Foster","BUF","12.3","13","1.0"
"160","Trent Sherfield","ARI","12.0","16","0.8"
"161","Jamal Agnew","DET","11.7","13","0.9"
"162","Andre Patton","LAC","11.6","13","0.9"
"162","KhaDarel Hodge","CLE","11.6","16","0.7"
"164","Ryan Switzer","PIT","10.7","9","1.2"
"165","Tevin Jones","Multi","10.1","5","2.0"
"166","Cedrick Wilson Jr.","DAL","9.6","6","1.6"
"167","DeAndrew White","CAR","9.1","10","0.9"
"168","Chad Beebe","MIN","9.0","3","3.0"
"168","Travis Benjamin","LAC","9.0","5","1.8"
"168","Chris Lacy","DET","9.0","7","1.3"
"171","Ventell Bryant","DAL","8.5","12","0.7"
"172","Diontae Spencer","DEN","7.7","16","0.5"
"173","Jordan Matthews","Multi","7.3","3","2.4"
"174","Deontay Burnett","Multi","6.8","2","3.4"
"174","Geremy Davis","LAC","6.8","8","0.9"
"176","Alexander Hollins","MIN","6.6","5","1.3"
"177","Jason Moore Jr.","LAC","6.3","10","0.6"
"178","Devin Funchess","IND","6.2","1","6.2"
"179","Michael Crabtree","ARI","6.2","3","2.1"
"180","Johnny Holton","PIT","6.0","16","0.4"
"181","Donte Moncrief","Multi","5.8","8","0.7"
"182","Cody Core","NYG","5.8","16","0.4"
"183","Andre Roberts","BUF","5.7","13","0.4"
"183","Steven Mitchell Jr.","HOU","5.7","4","1.4"
"185","Russell Shepard","NYG","5.5","3","1.8"
"186","Ryan Grant","Multi","5.4","2","2.7"
"186","Ishmael Hyman","TB","5.4","2","2.7"
"188","C.J. Board","JAC","5.1","4","1.3"
"188","Chris Moore","BAL","5.1","14","0.4"
"190","Marqise Lee","JAC","4.9","6","0.8"
"191","Stanley Morgan Jr.","CIN","4.8","11","0.4"
"192","Da'Mari Scott","NYG","4.7","5","0.9"
"192","Cam Sims","WAS","4.7","8","0.6"
"194","Bobo Wilson","Multi","4.5","6","0.8"
"195","Fred Brown","DEN","4.1","13","0.3"
"196","Josh Bellamy","NYJ","4.0","7","0.6"
"197","Robert Davis","Multi","3.7","6","0.6"
"197","Darius Jennings","TEN","3.7","8","0.5"
"199","Ashton Dulin","IND","3.7","13","0.3"
"200","Gunner Olszewski","NE","3.4","8","0.4"
"201","Mike Thomas","LAR","3.4","16","0.2"
"202","Cody Hollister","TEN","3.3","5","0.7"
"203","Rashard Davis","TEN","2.6","1","2.6"
"204","Jeff Smith","NYJ","2.2","1","2.2"
"205","De'Anthony Thomas","Multi","2.1","14","0.2"
"205","John Ursua","SEA","2.1","3","0.7"
"207","Austin Carr","NO","1.9","7","0.3"
"208","Dwayne Harris","Multi","1.7","3","0.6"
"209","Jaleel Scott","BAL","1.6","3","0.5"
"210","Krishawn Hogan","NO","1.4","8","0.2"
"211","Cyril Grayson Jr.","Multi","1.3","2","0.7"
"212","Jester Weah","WAS","0.0","1","0.0"
"212","Jaydon Mickens","TB","0.0","1","0.0"
"212","Spencer Schnell","TB","0.0","1","0.0"
"212","Juwann Winfree","DEN","0.0","3","0.0"
"212","Nsimba Webster","LAR","0.0","5","0.0"
"212","Travis Fulgham","DET","0.0","3","0.0"
"212","Deante Burton","Multi","0.0","3","0.0"
"212","Chad Williams","IND","0.0","1","0.0"
"212","Taywan Taylor","CLE","0.0","4","0.0"
"212","Jalen Guyton","LAC","0.0","3","0.0"
"212","Josh Doctson","MIN","0.0","1","0.0"
"212","Lil'Jordan Humphrey","NO","0.0","5","0.0"
"212","Davion Davis","MIN","0.0","2","0.0"
"212","Tom Kennedy","DET","0.0","1","0.0"
"212","Gary Jennings Jr.","Multi","0.0","1","0.0"
"212","Jordy Nelson","FA","0.0","1","0.0"
"212","Bradley Marquez","FA","0.0","1","0.0"
"212","Alonzo Russell","FA","0.0","1","0.0"
"212","Freddie Martino","FA","0.0","1","0.0"
"212","Jeremy Kerley","FA","0.0","1","0.0"
"212","Rashad Greene","FA","0.0","1","0.0"
"212","Corey Coleman","NYG","0.0","1","0.0"
"212","Saeed Blacknall","ARI","0.0","1","0.0"
"212","River Cracraft","Multi","0.0","2","0.0"
"212","Charone Peake","FA","0.0","1","0.0"
"212","Gehrig Dieter","KC","0.0","3","0.0"
"212","Brandon LaFell","FA","0.0","1","0.0"
"212","Daurice Fountain","IND","0.0","1","0.0"
"212","Lance Lenoir Jr.","FA","0.0","1","0.0"
"212","Keith Kirkwood","NO","0.0","1","0.0"
"212","Jehu Chesson","WAS","0.0","1","0.0"
"212","Markus Wheaton","FA","0.0","1","0.0"
"212","Terrance Williams","FA","0.0","1","0.0"
"212","Janarion Grant","FA","0.0","1","0.0"
"212","Noah Brown","DAL","0.0","1","0.0"
"212","Justin Hardee","NO","0.0","16","0.0"
"212","Brandon Tate","FA","0.0","1","0.0"
"212","Victor Bolden Jr.","DET","0.0","1","0.0"
"212","Kamar Aiken","FA","0.0","1","0.0"
"212","Keon Hatcher","Multi","0.0","1","0.0"
"212","Kelvin Benjamin","FA","0.0","1","0.0"
"212","JoJo Natson","LAR","0.0","12","0.0"
"212","Cam Phillips","FA","0.0","1","0.0"
"212","Marcus Kemp","KC","0.0","1","0.0"
"212","Equanimeous St. Brown","GB","0.0","1","0.0"
"212","Leonte Carroo","FA","0.0","1","0.0"
"212","Andre Holmes","FA","0.0","1","0.0"
"212","Matthew Slater","NE","0.0","16","0.0"
"212","Max McCaffrey","FA","0.0","1","0.0"
"212","Brian Quick","FA","0.0","1","0.0"
