Player,Year,Y/R,YBC/R,AIR/R,YAC/R,YACON/R,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Preseason_rank,ADP,Postseason_rank,Position,Points,Games,PPG
DeVante Parker,2018,12.9,9.0,9.0,3.9,1.5,11.0,3.0,3.0,1.0,0.0,119.0,129.4,313.0,WR,60.9,11.0,5.5
Tyler Lockett,2017,12.3,8.2,8.2,4.2,0.4,20.0,5.0,3.0,3.0,2.0,153.0,160.0,174.0,WR,118.3,16.0,7.4
Davante Adams,2016,13.3,8.1,8.1,5.1,2.2,37.0,17.0,7.0,4.0,2.0,191.0,181.2,34.0,WR,246.7,16.0,15.4
Michael Thomas,2016,12.4,7.1,7.1,5.3,1.8,48.0,18.0,3.0,1.0,0.0,146.0,155.0,29.0,WR,255.7,15.0,17.1
Doug Baldwin,2015,13.7,8.1,8.1,5.6,2.2,40.0,16.0,7.0,3.0,2.0,168.0,161.2,27.0,WR,268.9,16.0,16.8
Michael Crabtree,2015,10.8,7.7,7.7,3.1,1.4,35.0,15.0,4.0,0.0,0.0,156.0,161.2,45.0,WR,231.2,16.0,14.5
Davante Adams,2015,9.7,6.9,6.9,2.7,1.1,16.0,6.0,2.0,1.0,0.0,62.0,65.3,208.0,WR,106.3,13.0,8.2
Odell Beckham Jr.,2014,14.3,9.0,9.0,5.3,0.0,45.0,16.0,8.0,6.0,4.0,239.0,192.0,17.0,WR,295.0,12.0,24.6
Doug Baldwin,2014,12.5,7.4,7.4,5.1,0.0,34.0,15.0,4.0,2.0,0.0,168.0,168.5,96.0,WR,167.3,16.0,10.5
Michael Crabtree,2014,10.3,6.5,6.5,3.8,0.0,25.0,10.0,3.0,2.0,1.0,48.0,48.6,102.0,WR,162.2,16.0,10.1
Julian Edelman,2013,10.1,5.3,5.3,4.7,0.0,39.0,9.0,4.0,2.0,0.0,225.0,224.5,36.0,WR,234.2,15.0,15.6
